NPL_PERSPECTIVE_FK	NPL_NODE_FK
Adult Kidney (GenePaint)	11719
Adult Kidney (GenePaint)	12074
Adult Kidney (GenePaint)	12081
Adult Kidney (GenePaint)	12088
Adult Kidney (GenePaint)	12108
Adult Kidney (GenePaint)	12117
Adult Kidney (GenePaint)	12124
Adult Kidney (GenePaint)	12131
Adult Kidney (GenePaint)	12138
Adult Kidney (GenePaint)	12146
Adult Kidney (GenePaint)	12153
Adult Kidney (GenePaint)	12161
Adult Kidney (GenePaint)	12169
Adult Kidney (GenePaint)	12177
Adult Kidney (GenePaint)	12184
Adult Kidney (GenePaint)	12191
Adult Kidney (GenePaint)	12199
Adult Kidney (GenePaint)	12207
Adult Kidney (GenePaint)	12214
Adult Kidney (GenePaint)	12221
Adult Kidney (GenePaint)	12228
Adult Kidney (GenePaint)	12235
Adult Kidney (GenePaint)	12242
Adult Kidney (GenePaint)	12250
Adult Kidney (GenePaint)	12257
Adult Kidney (GenePaint)	12264
Adult Kidney (GenePaint)	12272
Adult Kidney (GenePaint)	12280
Adult Kidney (GenePaint)	12287
Adult Kidney (GenePaint)	12295
Adult Kidney (GenePaint)	12302
Adult Kidney (GenePaint)	12306
Adult Kidney (GenePaint)	12317
Adult Kidney (GenePaint)	12322
Adult Kidney (GenePaint)	12327
Adult Kidney (GenePaint)	12341
Adult Kidney (GenePaint)	12345
Adult Kidney (GenePaint)	12349
Adult Kidney (GenePaint)	12354
Adult Kidney (GenePaint)	12358
Adult Kidney (GenePaint)	12362
Adult Kidney (GenePaint)	12367
Adult Kidney (GenePaint)	12372
Adult Kidney (GenePaint)	12376
Adult Kidney (GenePaint)	12380
Adult Kidney (GenePaint)	12383
Adult Kidney (GenePaint)	12386
Adult Kidney (GenePaint)	12389
Adult Kidney (GenePaint)	12392
Adult Kidney (GenePaint)	12397
Adult Kidney (GenePaint)	12402
Adult Kidney (GenePaint)	12406
Adult Kidney (GenePaint)	12410
Adult Kidney (GenePaint)	12414
Adult Kidney (GenePaint)	12419
Adult Kidney (GenePaint)	12424
Adult Kidney (GenePaint)	12428
Adult Kidney (GenePaint)	12433
Adult Kidney (GenePaint)	12437
Adult Kidney (GenePaint)	12441
Adult Kidney (GenePaint)	12445
Adult Kidney (GenePaint)	12449
Adult Kidney (GenePaint)	12453
Adult Kidney (GenePaint)	12460
Adult Kidney (GenePaint)	12467
Adult Kidney (GenePaint)	12473
Adult Kidney (GenePaint)	12479
Adult Kidney (GenePaint)	12483
Adult Kidney (GenePaint)	12487
Adult Kidney (GenePaint)	12493
Adult Kidney (GenePaint)	12497
Adult Kidney (GenePaint)	12515
Adult Kidney (GenePaint)	12528
Adult Kidney (GenePaint)	12539
Adult Kidney (GenePaint)	12542
Adult Kidney (GenePaint)	12545
Adult Kidney (GenePaint)	12548
Adult Kidney (GenePaint)	12551
Adult Kidney (GenePaint)	12557
Adult Kidney (GenePaint)	12563
Adult Kidney (GenePaint)	12583
Adult Kidney (GenePaint)	12600
Adult Kidney (GenePaint)	12604
Adult Kidney (GenePaint)	12608
Adult Kidney (GenePaint)	12613
Adult Kidney (GenePaint)	12622
Adult Kidney (GenePaint)	12628
Adult Kidney (GenePaint)	12640
Adult Kidney (GenePaint)	12644
Adult Kidney (GenePaint)	12649
Adult Kidney (GenePaint)	12653
Adult Kidney (GenePaint)	12657
Adult Kidney (GenePaint)	12662
Adult Kidney (GenePaint)	12667
Adult Kidney (GenePaint)	12676
Adult Kidney (GenePaint)	13125
Adult Kidney (GenePaint)	13133
Adult Kidney (GenePaint)	26945
Adult Kidney (GenePaint)	26973
Adult Kidney (GenePaint)	27001
Adult Kidney (GenePaint)	27007
Adult Kidney (GenePaint)	27035
Adult Kidney (GenePaint)	28769
Adult Kidney (GenePaint)	28770
Adult Kidney (GenePaint)	28771
Adult Kidney (GenePaint)	28772
Adult Kidney (GenePaint)	28773
Adult Kidney (GenePaint)	28774
Adult Kidney (GenePaint)	28775
Adult Kidney (GenePaint)	28777
Adult Kidney (GenePaint)	28778
Adult Kidney (GenePaint)	28779
Adult Kidney (GenePaint)	28780
Adult Kidney (GenePaint)	28788
Adult Kidney (GenePaint)	28789
Adult Kidney (GenePaint)	28790
Adult Kidney (GenePaint)	28792
Adult Kidney (GenePaint)	28793
Adult Kidney (GenePaint)	28794
Adult Kidney (GenePaint)	28804
Adult Kidney (GenePaint)	30106
Adult Kidney (GenePaint)	30107
Adult Kidney (GenePaint)	30108
Adult Kidney (GenePaint)	30109
Adult Kidney (GenePaint)	30111
Adult Kidney (GenePaint)	30112
